method	Long	value
method	Integer	value
method	File	out
method	boolean	log error
method	String	output prop
method	String	error property
method	boolean	newenv
method	boolean	must search path
var	File	executable file
var	String[]	environment
var	int	return code
file	int	one second
file	int	invalid
file	String[]	cmdl
file	String[]	env
file	int	exit value
file	ExecuteStreamHandler	stream handler
file	ExecuteWatchdog	watchdog
file	File	working directory
file	boolean	use vm launcher
file	String	ant working directory
file	Map	proc environment
file	ProcessDestroyer	process destroyer
file	boolean	environment case in sensitive
var	int	retval
var	String	var
var	int	eq
var	String[]	cmd
method	String[]	commandline
method	File	wd
method	String[]	command
method	boolean	use vm
var	CommandLauncher	vm launcher
var	CommandLauncher	launcher
var	Process	process
var	OutputStream	dummy out
method	int	value
var	Map	os env
var	String	key value
var	String	os env item
var	ArrayList	l
method	String[]	cmdline
var	HashMap	logicals
var	String	log name
var	String	log value
var	String	new log name
var	int	eq index
file	Commandline	java command
file	CommandlineJava.SysProperties	sys properties
file	Permissions	perm
file	Method	main
file	Throwable	caught
file	boolean	timed out
file	boolean	done
method	CommandlineJava.SysProperties	s
method	Permissions	permissions
var	Class	target
var	Task	current thread task
var	Watchdog	w
var	Object[]	argument
var	CommandlineJava	cmdl
var	int	rc
var	File	vms java option file
var	String[]	vms cmd
file	boolean	relative
file	boolean	parallel
file	boolean	forward slash
file	Commandline.Marker	src file pos
file	boolean	skip empty
file	Commandline.Marker	target file pos
file	int	max parallel
file	boolean	add source file
file	boolean	ignore missing
file	boolean	src is first
method	DirSet	set
method	FileDirBoth	type
var	int	total files
var	int	total dirs
var	boolean	have executed
var	Vector	file names
var	Vector	base dirs
var	String	current type
var	AbstractFileSet	fs
var	int	included count
method	File[]	base dirs
var	char	file separator
var	HashSet	added files
var	String[]	sub targets
var	String[]	target files
var	String[]	orig
var	String[]	result
var	int	src index
var	int	target index
var	String	src
method	String	src file
var	File[]	b
var	int	still to do
var	int	current offset
var	int	current amount
var	String[]	cs
var	File[]	cb
method	String[]	arguments
method	int	insert position
file	boolean	watch
file	Exception	caught
file	boolean	killed process
file	Watchdog	watchdog
file	Object	if condition
file	Object	unless condition
file	NestedCondition	nested condition
file	Integer	status
method	Object	c
var	boolean	result
file	File	source
file	Vector	patternsets
file	boolean	resources specified
file	boolean	fail on empty archive
file	boolean	strip absolute path spec
file	boolean	scan for unicode extra fields
file	String	native encoding
file	String	error multiple mappers
method	File	src f
var	ZipEntry	ze
method	Resource	src r
method	InputStream	compressed input stream
method	String	entry name
method	Date	entry date
method	boolean	is directory
var	Set	include patterns
var	Set	exclude patterns
var	PatternSet	p
var	String[]	incls
var	int	w
var	String[]	excls
var	int	v
var	String[]	mapped names
var	File	dir f
method	File	s
method	PatternSet	set
file	File	filters file
var	boolean	is filters from file
var	boolean	is single filter
file	String	fixcrlf error
file	String	error file and srcdir
file	FixCrLfFilter	filter
file	Vector	fcv
var	String	option
method	int	tlength
var	String	enc
var	long	last modified
var	File	dest d
var	FilterChain	fc
var	boolean	dest is wrong
file	int	undef
file	int	notjava
file	int	looking
file	int	inbuflen
file	int	linebuflen
file	StringBuffer	eol str
file	StringBuffer	eof str
file	boolean	reached eof
var	int	eolcount
var	BufferLine	tmp line
file	int	column
file	int	lookahead
file	String	eol str
method	int	col
method	int	begin
file	Vector	params
var	DnameParam	param
file	String	sigalg
file	String	keyalg
file	String	dname
file	DistinguishedName	expanded dname
file	int	keysize
file	int	validity
method	String	keysize
method	String	validity
var	Commandline.Argument	arg
file	int	number retries
file	int	dots per line
file	int	big buffer size
file	int	redirect limit
file	int	http moved temp
file	String	http
file	String	https
file	String	default agent prefix
file	String	gzip content encoding
file	Resources	sources
file	File	destination
file	boolean	use timestamp
file	boolean	ignore errors
file	String	uname
file	String	pword
file	long	max time
file	boolean	skip existing
file	boolean	http use caches
file	boolean	try gzip encoding
file	String	user agent
var	String[]	d
var	int	slash
var	DownloadProgress	progress
var	long	timestamp
var	boolean	has timestamp
var	Date	t
var	GetThread	get thread
method	int	r
method	boolean	s
method	boolean	http use cache
file	int	dots
file	IOException	ioexception
file	BuildException	exception
file	URLConnection	connection
file	int	redirections
var	boolean	download succeeded
method	URL	a source
method	URL	a dest
var	String	up
var	Base64Converter	encoder
var	HttpURLConnection	http connection
var	int	response code
var	String	new location
var	URL	new url
var	boolean	finished
var	long	remote timestamp
var	GZIPInputStream	z in
var	GZIPOutputStream	z out
file	String	def rem addr6
file	String	def rem addr4
file	String	def local addr6
file	String	def local addr4
file	String	def local name
file	String	def domain
file	String	domain
file	String	addr4
file	String	addr6
file	InetAddress	name addr
file	InetAddress	best6
file	InetAddress	best4
file	List	inet addrs
method	String	a prefix
method	String	a host
var	Enumeration	interfaces
var	NetworkInterface	currentif
var	Enumeration	addrs
method	InetAddress	addr
var	InetAddress	current
method	InetAddress	best so far
var	InetAddress	best
method	String	fqdn
file	String	target prefix
file	String	prefix separator
method	ResourceCollection	r
var	Union	resources to import
var	Resource	from file attribute
method	Resource	imported resource
var	String	old prefix
var	boolean	old include mode
var	String	old sep
var	ProjectHelper	sub helper
var	File	imported file
var	URL	imported file
var	URL	imported url
method	String	prefix sep
method	boolean	in include mode
file	HandlerType	type
file	InputHandler[]	handlers
file	String	validargs
file	String	addproperty
file	String	defaultvalue
file	Handler	handler
file	boolean	message attribute
var	Vector	accept
var	InputHandler	h
file	String	index name
file	String	manifest name
file	List	service list
file	Manifest	configured manifest
file	Manifest	saved configured manifest
file	Manifest	fileset manifest
file	Manifest	original manifest
file	FilesetManifestConfig	fileset manifest config
file	boolean	merge manifests main
file	String	manifest encoding
file	File	manifest file
file	boolean	index
file	boolean	index meta inf
file	boolean	create empty
file	Vector	root entries
file	Path	index jars
file	StrictMode	strict
file	boolean	merge class paths
file	boolean	flatten class paths
file	ZipExtraField[]	jar marker
method	WhenEmpty	we
method	File	jar file
method	Manifest	new manifest
method	FilesetManifestConfig	config
method	Service	service
var	Manifest	jar manifest
var	boolean	merge file set first
var	Manifest	final manifest
var	OutputStreamWriter	osw
var	ByteArrayInputStream	bais
var	Manifest	mf
var	Manifest.Attribute	classpath
var	String[]	cp entries
var	String[]	index jar entries
var	ArrayList	dirs
method	File	from archive
method	ResourceCollection[]	rcs
method	boolean	needs update
var	Resource[][]	manifests
var	String	br
var	Section	main section
method	String[]	classpath
var	TreeMap	matches
method	Object	o1
method	Object	o2
var	String	candidate
var	org.apache.tools.zip.ZipFile	zf
var	HashSet	dir set
var	org.apache.tools.zip.ZipEntry	ze
var	Resource[][]	resources
var	ArchiveFileSet	afs
file	boolean	fork
file	String	timeout message
var	Permissions	saved permissions
var	String	module
method	CommandlineJava	command line
method	File	jarfile
method	boolean	clone vm
method	PropertySet	sysp
method	Assertions	asserts
method	CommandlineJava	command
var	ExecuteJava	exe
method	Vector	args
var	CommandlineJava	cmdj
file	String	fail msg
file	String	javac9
file	String	javac19
file	String	javac18
file	String	javac17
file	String	javac16
file	String	javac15
file	String	javac14
file	String	javac13
file	String	javac12
file	String	javac11
file	String	modern
file	String	classic
file	String	extjavac
file	char	group start mark
file	char	group end mark
file	char	group sep mark
file	String	module marker
file	File	native header dir
file	String	target attribute
file	Boolean	include ant runtime
file	String	forked executable
file	boolean	nowarn
file	FacadeTaskHelper	facade
file	boolean	list files
file	Map	package infos
file	File	tmp dir
file	String	updated property
file	boolean	task success
file	boolean	include dest classes
file	CompilerAdapter	nested adapter
file	boolean	create missing package info class
method	Path	src dir
method	File	nh dir
method	boolean	list
method	boolean	proceed
method	boolean	include
method	String	fork exec
var	ImplementationSpecificArgument	arg
var	String	chosen
var	String	applied compiler
var	String	alt compiler name
method	String	an implementation
var	String	next selected
method	CompilerAdapter	adapter
var	GlobPatternMapper	m
var	SourceFileScanner	sfs
var	File[]	new files
var	File[]	new compile list
var	FileUtils	fu
var	boolean	valid
var	String	module name
var	Map.Entry	modules
var	String	compiler impl
method	String	compiler
method	String	impl
var	Long	source last mod
var	File	pkg bin dir
var	File	pkg info class
var	byte[]	name
method	File	project dir
method	String	element
var	CharSequence	resolved element
method	CharSequence	element
var	StringBuilder	resolved
var	Collection	parts
var	List	old res
var	CharSequence	prefix
var	CharSequence	part
var	StringBuilder	prefix
method	CharSequence	group
var	Collection	result
var	int	depth
method	File	root
method	Map	collector
var	int	start index
var	String	path to module
var	String	path in module
var	File[]	modules
method	File	pathname
var	File	module source root
var	Collection	module roots
var	File	module
file	byte[]	package info class header
file	byte[]	package info class footer
file	boolean	javadoc 5
file	String	load frame
file	int	load frame len
var	DocletParam	param
file	StringBuffer	text
file	ArrayList	rcs
file	boolean	fail on warning
file	Path	source path
file	Vector	source files
file	Vector	package names
file	Vector	exclude package names
file	boolean	author
file	boolean	version
file	DocletInfo	doclet
file	String	group
file	String	package list
file	Vector	links
file	Vector	groups
file	Vector	tags
file	Html	doctitle
file	Html	header
file	Html	footer
file	Html	bottom
file	boolean	use external file
file	boolean	linksource
file	boolean	breakiterator
file	String	noqualifier
file	boolean	include no source packages
file	boolean	doc files sub dirs
file	String	exclude doc files sub dir
file	String	doc encoding
file	boolean	post process generated javadocs
file	ResourceCollectionContainer	nested source files
file	Vector	package sets
var	SourceFile	sf
method	String	packages
var	PackageName	pn
method	AccessType	at
method	String	doclet name
method	Path	doclet path
method	ExtensionInfo	taglet info
method	String	locale
method	String	title
method	String	doctitle
var	Html	h
method	Html	text
method	String	bottom
var	LinkArgument	le
var	String	link offline error
var	LinkArgument	la
file	String	href
file	boolean	offline
file	File	packagelist loc
file	URL	packagelist url
file	boolean	resolve link
method	String	hr
method	URL	src
var	TagArgument	ta
file	String[]	scope elements
file	boolean	enabled
file	String	scope
method	String	verbose scope
var	boolean[]	elements
var	boolean	got all
var	boolean	got not all
var	StringBuffer	buff
var	GroupArgument	ga
file	Html	title
var	StringBuffer	p
method	DirSet	package set
var	Vector	packages to doc
var	Path	source dirs
var	Vector	source files to doc
var	File	tmp list
var	FileWriter	wr
var	BufferedWriter	src list writer
var	JavadocOutputStream	out
var	JavadocOutputStream	err
var	int	ret
var	File	options tmp file
var	BufferedWriter	options list writer
var	String[]	list opt
var	Path	bcp
var	String	link
var	File	href as file
var	URL	base
var	File	package list location
var	URL	package list url
var	File	package list file
var	String	grp
var	String	pkg list
var	Path	taglet path
var	File	tag dir
var	DirectoryScanner	tag def scanner
var	File	tag def file
var	String	source arg
method	char	delim
var	boolean	last char was cr
method	Vector	sf
var	Iterator	e
var	FileSet	fs2
method	Vector	pn
method	Path	sp
var	HashSet	added packages
var	Vector	dir sets
var	PatternSet	ps
var	PackageName	p
var	DirSet	ds
var	DirectoryScanner	dsc
var	boolean	contains packages
var	File	pd
method	File	dir1
var	String	fix data
var	int	patched
var	InputStream	fin
var	String	file contents
var	String	patched file contents
var	OutputStreamWriter	w
method	String	orig
file	String	queued line
file	boolean	saw warnings
method	String	content
file	int	hash table size
file	Hashtable	loader map
file	boolean	caching
file	boolean	autocommit
file	String	driver
file	String	rdbms
file	boolean	fail on connection error
file	List	connection properties
method	boolean	enable
method	Connection	conn
var	DatabaseMetaData	dmd
var	String	the vendor
var	String	the version
method	Property	var
var	Properties	info
var	Iterator	props
var	Driver	driver instance
var	Class	dc
file	int	max files on command line
file	JikesOutputParser	jop
file	boolean	error flag
file	int	errors
file	int	warnings
file	boolean	error
file	BufferedReader	br
var	String	lower
method	boolean	err
file	Hashtable	replacements
var	BufferedWriter	bw
var	String	newline
method	String	keys
var	StringTokenizer	itok
method	String	orig string
var	StringBuffer	final string
file	CommandLauncher	shell launcher
var	CommandLauncher	base launcher
method	File	working dir
method	String	launcher ref id
var	String	launcher class
file	CommandLauncher	my launcher
var	File	command dir
var	int	pre cmd length
var	String	cmd dir
var	String[]	newcmd
file	String	my script
var	File	cmd file
var	Process	p
var	File	script
file	String	each
file	String	length required
file	Boolean	trim
file	String	mode
file	Comparison	when
file	Long	length
file	Resources	resources
method	long	ell
method	When	w
method	Comparison	c
method	FileMode	m
var	Long	ell
var	AccumHandler	h
method	Handler	h
method	boolean	t
file	String[]	modes
var	long	size
file	long	accum
file	Resource	src
var	ByteArrayInputStream	tis
var	ChainReaderHelper	crh
var	Property	property task
method	FilterChain	filter
method	ResourceCollection	a
var	long	len
file	NestedSequential	nested sequential
file	boolean	back trace
file	List	attributes
file	Map	elements
file	String	text name
file	Text	text
file	boolean	has implicit element
var	Attribute	attribute
file	List	nested
method	NestedSequential	other
var	UnknownElement	me
var	UnknownElement	o
var	UnknownElement	ret
var	UnknownElement	e
var	Attribute	att
method	TemplateElement	element
var	MyAntTypeDefinition	def
file	boolean	double expanding
var	Attribute	other
file	String	default string
var	Text	other
method	Object	a
method	Object	b
file	boolean	implicit
var	TemplateElement	t
method	boolean	same
var	MacroDef	other
file	MacroDef	macro def
var	MyAntTypeDefinition	other def
file	Map	ns elements
file	Map	present elements
file	Hashtable	local attributes
file	String	implicit tag
file	List	unknown elements
var	MacroDef.TemplateElement	te
file	int	state normal
file	int	state expect bracket
file	int	state expect name
method	Map	macro mapping
var	StringBuffer	macro name
method	boolean	nested
var	UnknownElement	unknown element
var	MacroDef.TemplateElement	template element
var	UnknownElement	present element
var	String	present text
var	Set	copy keys
var	String	default text
var	UnknownElement	c
file	String	separator
file	List	filesets
file	List	paths
file	boolean	validate
file	String	error missing file
file	String	error no property
file	String	error no files
var	StringBuilder	urls
var	ListIterator	list
var	String	as url
var	String[]	elements
method	File	file to check
var	String	fileset url
var	String	path url
method	File	file to convert
file	String	attribute manifest version
file	String	attribute signature version
file	String	attribute from
file	String	attribute classpath
file	String	default manifest version
file	int	max line length
file	int	max section length
file	String	eol
file	String	error from forbidden
file	String	jar encoding
file	String	attribute manifest version lc
file	String	attribute name lc
file	String	attribute from lc
file	String	attribute classpath lc
file	int	max name value length
file	int	max name length
file	Vector	values
file	int	current index
var	int	hash code
method	Object	rhs
var	Attribute	rhs attribute
var	String	lhs key
var	String	rhs key
var	String	full value
var	String	current value
var	int	name length
var	int	break index
file	Vector	warnings
var	String	name read ahead
method	Section	section
var	Attribute	classpath attribute
var	Enumeration	cpe
var	Attribute	current cp
var	Enumeration	attrib enum
var	Enumeration	warn enum
var	Attribute	name attr
var	String	check
var	String	attribute key
var	Section	cloned
var	Section	rhs section
file	String	manifest version
file	Map	sections
var	InputStreamReader	insr
var	String	def manifest
var	Manifest	default manifest
var	Attribute	created by
var	String	next section name
var	String	read manifest version
var	Attribute	first attribute
var	Attribute	section name
method	Manifest	other
method	boolean	overwrite main
var	Section	our section
var	Section	other section
var	String	signature version
var	Attribute	sv attr
var	StringWriter	sw
var	Enumeration	e2
var	Manifest	rhs manifest
file	int	max parent levels
var	StringBuffer	too long sb
var	String	too long prefix
var	File	path entry
var	String	full path
var	String	canonical path
method	int	levels
file	String	valid attribute chars
file	Manifest	nested manifest
file	Mode	mode
method	Manifest.Section	section
var	Enumeration	attribute keys
method	Manifest.Attribute	attribute
method	Mode	m
var	Manifest	to write
var	Manifest	current
var	BuildException	error
var	PrintWriter	w
method	String	item string
method	String	ignore string
method	DifferentSelector	selector
method	TypeSelector	selector
file	int	mkdir retry sleep millis
var	boolean	renamed
var	Iterator	from dirs
var	int	move count
var	boolean	self move
var	Iterator	from files
var	String	from dir name
var	String[]	to dir names
var	Iterator	from dir names
method	File	from file
method	File	to file
var	boolean	moved
var	Iterator	filter iter
method	boolean	delete files
file	Integer	new priority
file	String	current priority
var	Thread	self
var	String	current
method	int	new priority
file	CommandlineJava	commandline
file	File	output directory
file	File	super grammar
file	boolean	html
file	boolean	diagnostic
file	boolean	trace
file	boolean	trace parser
file	boolean	trace lexer
file	boolean	trace tree walker
file	File	workingdir
method	File	target
method	String	super grammar
var	String	sg
var	File	generated file
var	boolean	target is out of date
var	boolean	super grammar is out of date
var	String	generated file name
var	int	extends index
var	PumpStreamHandler	psh
var	AntClassLoader	l
file	int	default result
file	File	cab file
file	boolean	do compress
file	boolean	do verbose
file	String	cmd options
file	String	archive type
method	boolean	compress
method	String	options
var	ExecTask	exec
var	boolean	up to date
var	File	list file
var	String[]	dsfiles
var	File	out file
var	Enumeration	file enum
var	OutputStream	out
var	LogOutputStream	out log
var	LogOutputStream	err log
var	StreamPumper	out pump
var	StreamPumper	err pump
file	String	task
method	File	v
var	int	sizeof file set
var	Commandline	command line
file	String	flag comment
file	String	flag task
file	String	default task
file	String	platform
file	String	resolver
file	String	sub system
var	Commandline	command line2
file	String	flag platform
file	String	flag resolver
file	String	flag release
file	String	flag subsystem
method	OutputStream	param1
var	String	buffer
var	String	taskstring
file	String	ccm project
file	boolean	recurse
file	String	flag recurse
file	String	flag verbose
file	String	flag project
file	String	ccm dir
file	String	ccm action
var	String	to return
file	String	ccm exe
file	String	command create task
file	String	command checkout
file	String	command checkin
file	String	command reconfigure
file	String	command default task
file	String	m comment
file	String	m cfile
file	boolean	m nwarn
file	boolean	m ptime
file	boolean	m keep
file	boolean	m identical
var	Project	a proj
method	String	cfile
method	boolean	nwarn
method	boolean	ptime
method	boolean	keep
method	boolean	identical
file	String	flag commentfile
file	String	flag nocomment
file	String	flag nowarn
file	String	flag preservetime
file	String	flag keepcopy
file	String	flag identical
file	boolean	m reserved
file	String	m out
file	boolean	m ndata
file	String	m branch
file	boolean	m version
file	boolean	m notco
var	String	result
method	boolean	reserved
method	boolean	notco
method	String	outf
method	boolean	ndata
method	String	branch
file	String	flag reserved
file	String	flag unreserved
file	String	flag out
file	String	flag nodata
file	String	flag branch
file	String	flag version
file	boolean	m replace
file	boolean	m obsolete
file	String	m nusers
file	String	m pname
file	String	m objselect
method	boolean	replace
method	boolean	obsolete
method	String	nusers
method	String	pname
method	String	objsel
method	String	objselect
file	String	flag replace
file	String	flag nusers
file	String	flag obsolete
file	String	flag pname
file	boolean	m recurse
file	String	m version
file	String	m type name
file	String	m type value
method	String	tn
method	String	tv
var	String	typenm
var	String	typevl
file	String	m baseline root name
file	boolean	m full
file	boolean	m nlabel
method	String	baseline root name
method	boolean	full
method	boolean	nlabel
file	String	flag incremental
file	String	flag full
file	String	flag nlabel
file	boolean	m noco
method	boolean	co
file	String	flag nocheckout
file	boolean	m checkin
file	boolean	m master
file	String	m eltype
method	boolean	ci
method	boolean	master
method	String	eltype
file	String	flag checkin
file	String	flag master
file	String	flag eltype
file	String	m vob
method	String	vob
file	boolean	m global
file	boolean	m ordinary
file	boolean	m pbranch
file	boolean	m shared
method	boolean	repl
method	boolean	glob
method	boolean	ordinary
method	boolean	pbranch
method	boolean	shared
file	String	flag global
file	String	flag ordinary
file	String	flag pbranch
file	String	flag shared
file	String	m type kind
file	boolean	m rmall
file	boolean	m ignore
method	boolean	rmall
method	String	tk
var	String	tkind
var	String	tname
var	String	type spec
file	String	flag ignore
file	String	flag rmall
file	String	flag force
file	String	flag rm
file	boolean	m graphical
file	boolean	m overwrite
file	boolean	m rename
file	boolean	m ctime
file	String	m log
method	boolean	graphical
method	boolean	ow
method	boolean	ren
method	boolean	ct
method	boolean	pt
method	String	log
file	String	flag graphical
file	String	flag log
file	String	flag overwrite
file	String	flag noverwrite
file	String	flag rename
file	String	flag currenttime
file	String	m clear tool dir
file	String	mview path
file	String	mobj select
file	int	pcnt
file	boolean	m failonerr
method	String	view path
method	String	obj select
method	Commandline	cmdline
var	String	out v
var	ExecTask	exe
method	boolean	failonerr
file	String	cleartool exe
file	String	command update
file	String	command uncheckout
file	String	command lock
file	String	command unlock
file	String	command mkbl
file	String	command mklabel
file	String	command mklbtype
file	String	command rmtype
file	String	command lsco
file	String	command mkelem
file	String	command mkattr
file	String	command mkdir
method	Vector	classes
var	Hashtable	dependencies
var	Hashtable	containers
var	Hashtable	to analyze
var	int	max count
var	Hashtable	analyzed deps
var	ZipFile	zip file
var	InputStream	in stream
var	ZipEntry	entry
var	ClassFile	class file
file	int	class magic
file	ConstantPool	constant pool
var	DataInputStream	class stream
var	int	this class index
var	ClassCPInfo	class info
var	Vector	class refs
var	ConstantPoolEntry	entry
var	ClassCPInfo	class entry
method	String	dot name
method	DataInputStream	cp stream
method	Object	new value
file	List	entries
file	Map	utf8 indexes
var	int	num entries
var	ConstantPoolEntry	next entry
var	int	num slots
var	Utf8CPInfo	utf8 info
var	ConstantPoolEntry	pool info
var	Integer	index integer
var	ClassCPInfo	classinfo
method	Object	constant value
var	ConstantCPInfo	constant entry
method	String	method class name
method	String	method type
var	MethodRefCPInfo	method ref entry
method	String	interface method class name
method	String	interface method name
method	String	interface method type
var	InterfaceMethodRefCPInfo	interface method ref entry
method	String	field class name
method	String	field name
method	String	field type
var	FieldRefCPInfo	field ref entry
var	NameAndTypeCPInfo	name and type entry
file	int	constant utf8
file	int	constant integer
file	int	constant float
file	int	constant long
file	int	constant double
file	int	constant class
file	int	constant string
file	int	constant fieldref
file	int	constant methodref
file	int	constant interfacemethodref
file	int	constant nameandtype
file	int	constant methodhandle
file	int	constant methodtype
file	int	constant invokedynamic
file	int	tag
file	boolean	resolved
var	ConstantPoolEntry	cp info
var	int	cp tag
file	int	name and type index
var	ClassCPInfo	field class
var	NameAndTypeCPInfo	nt
var	ClassCPInfo	interface method class
file	int	bootstrap method attr index
file	NameAndTypeCPInfo	name and type cp info
file	ConstantPoolEntry	reference
file	ReferenceKind	reference kind
file	int	reference index
file	int	reference kind
var	ClassCPInfo	method class
file	int	method descriptor index
file	String	method descriptor
var	Utf8CPInfo	method class
file	int	name index
file	int	descriptor index
file	File	absolute file
file	boolean	is user warned
file	Path	src path
file	Path	dest path
file	File	cache
file	String[]	src path list
file	Hashtable	affected class map
file	Hashtable	class file info map
file	Hashtable	classpath dependencies
file	Hashtable	out of date classes
file	boolean	closure
file	boolean	warn on rmi stubs
file	boolean	dump
file	Path	depend classpath
file	String	cache file name
file	String	classname prepend
method	File	dep file
var	Hashtable	dependency map
var	Vector	dependency list
var	int	prepend length
var	BufferedWriter	pw
var	String[]	dest path elements
var	String[]	classpath elements
var	String	check path
var	boolean	in dest path
var	boolean	cache dirty
var	File	cache file
var	boolean	cache file exists
var	long	cache last modified
var	Enumeration	classfile enum
var	ClassFileInfo	info
var	DependencyAnalyzer	analyzer
var	Enumeration	dep enum
var	String	dependent class
var	Hashtable	affected classes
var	Path	check path
var	Hashtable	classpath file cache
var	Object	null file marker
var	Object	classpath file object
var	URL	class url
var	String	jar file path
var	int	class marker
var	ClassFileInfo	class info
var	String	affected class
var	ClassFileInfo	affected class info
var	String	top level class name
var	ClassFileInfo	top level class info
method	String	base class
var	Enumeration	class enum
var	Enumeration	affected class enum
var	Enumeration	classpath enum
var	Enumeration	classpath file enum
var	File	classpath file
var	Enumeration	classpath deps enum
var	long	start
var	long	duration
var	int	summary log level
var	String	file path
method	Path	class locations
var	String[]	class locations list
var	Vector	class file list
method	File	source file known to exist
var	String	source filename
var	int	inner index
var	String[]	files in dir
var	int	root length
var	String	relative name
file	Stack	enum stack
file	Enumeration	current enum
var	Vector	files in root
var	ClassFile	next element
var	FileInputStream	in file stream
var	ClassFile	java class
file	ZipInputStream	jar stream
var	ZipEntry	jar entry
file	String	properties
file	String	attr value
file	File	in file
file	File	destfile
file	String	format
file	String	regex
method	FormatAttribute	ea
file	String[]	formats
var	Hashtable	all props
var	FileInputStream	in
var	List	key list
var	TreeSet	t
var	String	key1
var	String	key2
var	Tuple	that
var	List	sorted
var	Element	root element
var	Iterator	iten
var	Tuple	tuple
var	Element	prop element
var	Writer	wri
file	String	publicid borland ejb
file	String	default bas45 ejb11 dtd location
file	String	default bas dtd location
file	String	bas dd
file	String	bes dd
file	String	java2 iiop
file	String	verify
file	String	jar suffix
file	String	borland dtd
file	boolean	java2iiopdebug
file	String	java2iioparams
file	boolean	generateclient
file	int	bes
file	int	bas
file	int	version
file	boolean	verify
file	String	verify args
file	Hashtable	genfiles
method	String	in string
method	String	args
method	String	params
var	DescriptorHandler	handler
var	String	file name with meta
var	File	descriptor file
var	EjbJar.DTDLocation	dtd location
method	Hashtable	ejb files
method	String	dd prefix
var	String	dd
var	File	borland dd
method	String	base name
var	ExecTask	exec task
var	org.apache.tools.ant.taskdefs.Java	java task
var	Commandline.Argument	arguments
var	org.apache.tools.ant.taskdefs.optional.ejb.BorlandGenerateClient	gentask
method	Iterator	ithomes
var	Execute	exec task
var	Commandline	commandline
method	Hashtable	files
var	Vector	homes
var	String	classfile
var	String	javafile
file	String	java mode
file	String	fork mode
file	File	ejbjarfile
file	File	clientjarfile
method	File	ejbfile
method	File	clientjar
var	String	ejbjarname
var	String	clientname
var	Java	exec task
file	int	default hash table size
file	int	state looking ejbjar
file	int	state in ejbjar
file	int	state in beans
file	int	state in session
file	int	state in entity
file	int	state in message
file	Task	owning task
file	String	ejb ref
file	String	ejb local ref
file	String	home interface
file	String	remote interface
file	String	local home interface
file	String	local interface
file	String	bean class
file	String	pk class
file	String	ejb name
file	String	ejb jar
file	String	enterprise beans
file	String	entity bean
file	String	session bean
file	String	message bean
file	int	parse state
file	String	current element
file	String	current text
file	Hashtable	file dt ds
file	Hashtable	resource dt ds
file	boolean	in ejb ref
file	Hashtable	url dt ds
method	String	location
var	File	file dtd
var	URL	urldtd
var	File	dtd file
var	String	dtd resource name
var	URL	dtd url
method	char[]	ch
var	File	class file
method	String	descriptor filename
method	EjbJar.Config	config
file	File	descriptor dir
file	String	base name terminator
file	String	base jar name
file	boolean	flat dest dir
file	List	support file sets
file	ArrayList	dtd locations
file	NamingScheme	naming scheme
file	File	manifest
file	String	analyzer
file	String	directory
file	String	descriptor
file	String	basejarname
file	String	cmp1 0
file	String	cmp2 0
file	Config	config
file	String	generic jar suffix
file	String	cmp version
file	ArrayList	deployment tools
method	EJBDeploymentTool	deployment tool
var	WeblogicDeploymentTool	tool
var	WebsphereDeploymentTool	tool
var	BorlandDeploymentTool	tool
var	IPlanetDeploymentTool	tool
var	JbossDeploymentTool	tool
var	JonasDeploymentTool	tool
var	WeblogicTOPLinkDeploymentTool	tool
var	DTDLocation	dtd location
var	FileSet	support file set
method	File	in dir
method	String	in value
method	CMPVersion	version
method	boolean	in value
var	GenericDeploymentTool	generic tool
var	EJBDeploymentTool	tool
file	int	jar compress level
file	String	meta dir
file	String	manifest
file	String	ejb dd
file	String	analyzer super
file	String	analyzer full
file	String	analyzer none
file	String	default analyzer
file	String	analyzer class super
file	String	analyzer class full
file	ClassLoader	classpath loader
file	Set	addedfiles
file	DependencyAnalyzer	dependency analyzer
var	Path	combined path
var	String	analyzer class name
var	Class	analyzer class
method	JarOutputStream	j stream
method	File	input file
method	String	logical filename
var	FileInputStream	i stream
var	ZipEntry	zip entry
var	byte[]	byte buffer
var	DescriptorHandler	h
method	String	descriptor file name
var	int	start name
var	FileInputStream	descriptor stream
var	File	support base dir
var	DirectoryScanner	support scanner
var	String[]	support files
var	int	last separator index
var	int	dir separator index
var	int	end base name
var	String	canonical descriptor
var	long	last build
var	Iterator	file iter
var	File	current file
var	JarOutputStream	jar stream
var	String	default manifest
var	File	entry file
var	InnerClassFilenameFilter	flt
var	File	entry dir
var	String[]	innerfiles
var	int	entry index
var	int	n
var	Iterator	entry iterator
method	Hashtable	check entries
var	Path	combined classpath
file	String	base class name
var	int	extidx
file	File	iashome
file	boolean	keepgenerated
file	String	descriptor name
file	String	ias descriptor name
file	String	ias dd
var	int	start of name
var	String	std xml
var	File	ias descriptor
var	IPlanetEjbc	ejbc
var	String[]	cmp descriptors
var	int	end of path
var	String	relative path
var	int	end of cmp
var	String	cmp descriptor
var	File	cmp file
var	String	basename
var	String	remainder
var	int	end of base name
file	int	min num args
file	int	max num args
file	int	num classes with iiop
file	int	num classes without iiop
file	String	stateless session
file	String	stateful session
file	File	std descriptor
file	File	dest directory
file	boolean	retain source
file	boolean	debug output
file	File	ias home dir
file	SAXParser	parser
file	EjbcHandler	handler
var	List	elements
var	List	return list
var	EjbInfo[]	ejbs
