Domain	Type	Name
method	Commandline	toExecute
var	Path	docletPath
var	DocletParam	param
var	Enumeration<DocletParam>	e
method	Commandline	toExecute
var	File	optionsTmpFile
var	BufferedWriter	optionsListWriter
var	String[]	listOpt
var	String	string
var	int	i
method	Commandline	toExecute
var	Path	bcp
method	Commandline	toExecute
var	LinkArgument	la
var	String	link
var	File	hrefAsFile
var	URL	base
var	File	packageListLocation
var	URL	packageListURL
var	File	packageListFile
var	Enumeration<LinkArgument>	e
method	Commandline	toExecute
var	StringTokenizer	tok
var	String	grp
var	int	space
var	String	name
var	String	pkgList
method	Commandline	toExecute
var	GroupArgument	ga
var	String	title
var	String	packages
var	Enumeration<GroupArgument>	e
method	Commandline	toExecute
var	Object	element
var	ExtensionInfo	tagletInfo
var	Path	tagletPath
var	TagArgument	ta
var	File	tagDir
var	DirectoryScanner	tagDefScanner
var	String[]	files
var	File	tagDefFile
var	BufferedReader	in
var	String	line
var	int	i
var	Enumeration<Object>	e
var	String	sourceArg
method	Commandline	toExecute
method	Commandline	toExecute
method	Vector<String>	packagesToDoc
method	Vector<SourceFile>	sourceFilesToDoc
method	boolean	useExternalFile
method	File	tmpList
method	BufferedWriter	srcListWriter
var	String	packageName
var	String	sourceFileName
var	String	name
var	SourceFile	sf
method	String	str
method	String	s
var	int	len
var	int	i
method	String	str
method	char	delim
var	StringBuffer	buf
var	int	len
var	boolean	lastCharWasCR
var	char	c
var	int	i
method	Vector<SourceFile>	sf
var	Iterator<ResourceCollection>	e
var	ResourceCollection	rc
var	FileSet	fs
var	FileSet	fs2
var	Resource	r
method	Vector<String>	pn
method	Path	sp
var	HashSet<String>	addedPackages
var	Vector<DirSet>	dirSets
var	PatternSet	ps
var	Enumeration<PackageName>	e
var	PackageName	p
var	String	pkg
var	Enumeration<PackageName>	e
var	PackageName	p
var	String	pkg
var	String[]	pathElements
var	File	dir
var	DirSet	ds
var	int	i
var	Enumeration<DirSet>	e
var	DirSet	ds
var	File	baseDir
var	DirectoryScanner	dsc
var	String[]	dirs
var	boolean	containsPackages
var	File	pd
var	String[]	files
method	File	dir1
method	String	name
var	String	packageName
var	int	i
var	String	fixData
var	InputStream	in
var	DirectoryScanner	ds
var	int	patched
var	String	f
method	File	file
method	String	fixData
var	String	enc
var	InputStream	fin
var	String	fileContents
var	String	patchedFileContents
var	FileOutputStream	fos
var	OutputStreamWriter	w
method	String	orig
method	String	fileContents
method	String	fixData
var	int	start
file	String	queuedLine
file	boolean	sawWarnings
method	String	line
method	int	messageLevel
method	String	content
file	int	HASH_TABLE_SIZE
file	Hashtable<String, AntClassLoader>	LOADER_MAP
file	boolean	caching
file	Path	classpath
file	AntClassLoader	loader
file	boolean	autocommit
file	String	driver
file	String	url
file	String	userId
file	String	password
file	String	rdbms
file	String	version
file	boolean	failOnConnectionError
file	List<Property>	connectionProperties
method	Path	classpath
method	boolean	enable
method	Reference	r
method	String	driver
method	String	url
method	String	password
method	boolean	autocommit
method	String	rdbms
method	String	version
method	boolean	b
method	Connection	conn
var	DatabaseMetaData	dmd
var	String	theVendor
var	String	theVersion
method	Property	var
var	Properties	info
var	Property	p
var	String	name
var	String	value
var	Iterator<Property>	props
var	Connection	conn
var	Driver	driverInstance
var	Class<?>	dc
method	boolean	value
method	String	userId
file	int	MAX_FILES_ON_COMMAND_LINE
file	JikesOutputParser	jop
file	String	command
file	Project	project
method	String[]	args
var	String[]	commandArray
var	File	tmpFile
var	String	myos
var	BufferedWriter	out
var	int	i
var	Execute	exe
file	Task	task
file	boolean	errorFlag
file	int	errors
file	int	warnings
file	boolean	error
file	boolean	emacsMode
file	BufferedReader	br
method	OutputStream	os
method	InputStream	is
method	InputStream	is
method	BufferedReader	reader
method	BufferedReader	reader
var	String	line
var	String	lower
method	BufferedReader	reader
method	boolean	err
method	String	line
file	File	source
file	File	dest
file	String	sep
file	Hashtable<String, String>	replacements
var	BufferedReader	br
var	BufferedWriter	bw
var	String	line
var	String	newline
method	File	s
method	File	dest
method	String	sep
method	String	keys
var	StringTokenizer	tok
var	String	token
var	StringTokenizer	itok
var	String	name
var	String	value
method	String[]	args
var	Hashtable<String, String>	hash
method	String	origString
method	Hashtable<String, String>	keys
var	StringBuffer	finalString
var	int	index
var	int	i
var	String	key
file	FileUtils	FILE_UTILS
file	CommandLauncher	vmLauncher
file	CommandLauncher	shellLauncher
var	CommandLauncher	baseLauncher
var	CommandLauncher	baseLauncher
method	Project	project
method	String[]	cmd
method	String[]	env
method	Project	project
method	String[]	cmd
method	String[]	env
method	File	workingDir
method	Project	project
var	CommandLauncher	launcher
method	Project	project
var	CommandLauncher	launcher
method	String	referenceName
method	Project	project
var	CommandLauncher	launcher
method	String	launcherRefId
var	CommandLauncher	launcher
var	String	launcherClass
method	Project	project
method	CommandLauncher	launcher
method	Project	project
method	CommandLauncher	launcher
file	CommandLauncher	myLauncher
method	Project	project
method	String[]	cmd
method	String[]	env
method	Project	project
method	String[]	cmd
method	String[]	env
method	File	workingDir
method	Project	project
method	String[]	cmd
method	String[]	env
method	File	workingDir
method	Project	project
method	String[]	cmd
method	String[]	env
method	File	workingDir
var	File	commandDir
var	int	preCmdLength
var	String	cmdDir
var	String[]	newcmd
file	String	myScript
method	Project	project
method	String[]	cmd
method	String[]	env
method	File	workingDir
var	String	antHome
var	String	antRun
var	File	commandDir
var	String[]	newcmd
file	String	myScript
method	Project	project
method	String[]	cmd
method	String[]	env
method	File	workingDir
var	String	antHome
var	String	antRun
var	File	commandDir
var	String[]	newcmd
method	Project	project
method	String[]	cmd
method	String[]	env
var	File	cmdFile
var	Process	p
method	Project	project
method	String[]	cmd
method	String[]	env
method	File	workingDir
var	File	cmdFile
var	Process	p
method	String[]	cmd
method	String[]	env
var	File	script
var	BufferedWriter	out
var	int	eqIndex
var	int	i
var	int	i
method	File	f
method	Process	p
method	Project	project
method	String[]	cmd
method	String[]	env
method	File	workingDir
var	File	commandDir
var	int	preCmdLength
var	String[]	newcmd
file	String	ALL
file	String	EACH
file	String	STRING
file	String	LENGTH_REQUIRED
file	String	property
file	String	string
file	Boolean	trim
file	String	mode
file	Comparison	when
file	Long	length
file	Resources	resources
method	String	property
method	Resource	resource
method	File	file
method	FileSet	fs
method	ResourceCollection	c
method	long	ell
method	When	w
method	Comparison	c
method	FileMode	m
method	String	string
method	boolean	trim
var	PrintStream	ps
var	Long	ell
var	AccumHandler	h
method	Handler	h
var	Resource	r
method	String	s
method	boolean	t
file	String[]	MODES
file	PrintStream	ps
method	Resource	r
method	Resource	r
var	long	size
file	long	accum
method	Resource	r
var	long	size
method	File	srcFile
file	Resource	src
file	Vector<FilterChain>	filterChains
file	String	encoding
file	String	prefix
file	boolean	prefixValues
method	File	srcFile
method	String	resource
method	String	encoding
method	Path	classpath
method	Reference	r
method	String	prefix
method	boolean	b
var	BufferedInputStream	bis
var	Reader	instream
var	ByteArrayInputStream	tis
var	ChainReaderHelper	crh
var	String	text
var	Properties	props
var	Property	propertyTask
method	FilterChain	filter
method	ResourceCollection	a
file	Resource	src
file	boolean	failOnError
file	boolean	quiet
file	String	encoding
file	String	property
file	Vector<FilterChain>	filterChains
method	String	encoding
method	String	property
method	boolean	fail
method	boolean	quiet
var	String	message
var	InputStream	is
var	BufferedInputStream	bis
var	Reader	instream
var	String	message
var	long	len
var	int	size
var	String	text
var	ChainReaderHelper	crh
method	FilterChain	filter
method	ResourceCollection	a
file	String	name
method	String	name
file	ProjectComponent	pc
file	int	level
method	String	line
method	String	line
method	int	level
file	NestedSequential	nestedSequential
file	String	name
file	boolean	backTrace
file	List<Attribute>	attributes
file	Map<String, TemplateElement>	elements
file	String	textName
file	Text	text
file	boolean	hasImplicitElement
method	String	name
method	Text	text
var	Attribute	attribute
method	boolean	backTrace
file	List<Task>	nested
method	Task	task
method	NestedSequential	other
var	int	size
var	UnknownElement	me
var	UnknownElement	o
var	int	i
var	UnknownElement	ret
var	int	size
var	UnknownElement	e
var	int	i
method	char	c
method	String	name
var	int	i
method	Attribute	attribute
var	int	size
var	Attribute	att
var	int	i
method	TemplateElement	element
var	MyAntTypeDefinition	def
var	ComponentHelper	helper
file	String	name
file	String	defaultValue
file	String	description
file	boolean	doubleExpanding
method	String	name
method	String	defaultValue
method	String	desc
method	boolean	doubleExpanding
method	Object	obj
var	Attribute	other
file	String	name
file	boolean	optional
file	boolean	trim
file	String	description
file	String	defaultString
method	String	name
method	boolean	optional
method	boolean	trim
method	String	desc
method	String	defaultString
method	Object	obj
var	Text	other
method	Object	a
method	Object	b
file	String	name
file	String	description
file	boolean	optional
file	boolean	implicit
method	String	name
method	String	desc
method	boolean	optional
method	boolean	implicit
method	Object	obj
var	TemplateElement	t
method	Object	obj
method	boolean	same
var	MacroDef	other
method	Object	obj
method	Object	obj
file	MacroDef	macroDef
method	Project	project
var	Object	o
method	AntTypeDefinition	other
method	Project	project
var	MyAntTypeDefinition	otherDef
method	AntTypeDefinition	other
method	Project	project
var	MyAntTypeDefinition	otherDef
method	Object	o
file	MacroDef	macroDef
file	Map<String, String>	map
file	Map<String, MacroDef.TemplateElement>	nsElements
file	Map<String, UnknownElement>	presentElements
file	Hashtable<String, String>	localAttributes
file	String	text
file	String	implicitTag
file	List<Task>	unknownElements
method	MacroDef	macroDef
method	String	name
method	String	value
method	String	name
var	MacroDef.TemplateElement	te
var	Entry<String, MacroDef.TemplateElement>	entry
method	Task	nestedTask
var	UnknownElement	ue
var	String	name
var	Iterator<Task>	i
file	List<Task>	unknownElements
method	Task	nestedTask
file	int	STATE_NORMAL
file	int	STATE_EXPECT_BRACKET
file	int	STATE_EXPECT_NAME
method	String	s
method	Map<String, String>	macroMapping
var	StringBuffer	ret
var	StringBuffer	macroName
var	int	state
var	char	ch
var	String	name
var	String	value
var	int	i
method	String	text
method	UnknownElement	ue
method	boolean	nested
var	UnknownElement	ret
var	Target	t
var	RuntimeConfigurable	rc
var	Map<String, Object>	m
var	Map.Entry<String, Object>	entry
var	Enumeration<RuntimeConfigurable>	e
var	RuntimeConfigurable	r
var	UnknownElement	unknownElement
var	String	tag
var	MacroDef.TemplateElement	templateElement
var	UnknownElement	presentElement
var	String	presentText
var	List<UnknownElement>	list
var	UnknownElement	child
var	Iterator<UnknownElement>	i
var	UnknownElement	child
var	Iterator<Task>	i
var	UnknownElement	child
var	Set<String>	copyKeys
var	String	value
var	Attribute	attribute
var	String	defaultText
var	UnknownElement	c
var	LocalProperties	localProperties
file	String	property
file	File	file
file	String	separator
file	List<FileSet>	filesets
file	List<Path>	paths
file	boolean	validate
file	String	ERROR_MISSING_FILE
file	String	ERROR_NO_PROPERTY
file	String	ERROR_NO_FILES
method	String	property
method	File	file
method	FileSet	fileset
method	String	separator
method	boolean	validate
method	Path	path
var	int	count
var	StringBuilder	urls
var	ListIterator<FileSet>	list
var	FileSet	set
var	DirectoryScanner	scanner
var	String[]	files
var	File	f
var	String	asUrl
var	int	i
method	StringBuilder	urls
method	int	count
var	int	count
var	StringBuilder	urls
var	ListIterator<Path>	list
var	Path	path
var	String[]	elements
var	File	f
var	String	asUrl
var	int	i
method	File	fileToCheck
var	String	url
var	String	filesetURL
var	String	pathURL
method	File	fileToConvert
var	String	url
file	String	ATTRIBUTE_MANIFEST_VERSION
file	String	ATTRIBUTE_SIGNATURE_VERSION
file	String	ATTRIBUTE_NAME
file	String	ATTRIBUTE_FROM
file	String	ATTRIBUTE_CLASSPATH
file	String	DEFAULT_MANIFEST_VERSION
file	int	MAX_LINE_LENGTH
file	int	MAX_SECTION_LENGTH
file	String	EOL
file	String	ERROR_FROM_FORBIDDEN
file	String	JAR_ENCODING
file	String	ATTRIBUTE_MANIFEST_VERSION_LC
file	String	ATTRIBUTE_NAME_LC
file	String	ATTRIBUTE_FROM_LC
file	String	ATTRIBUTE_CLASSPATH_LC
file	int	MAX_NAME_VALUE_LENGTH
file	int	MAX_NAME_LENGTH
file	String	name
file	Vector<String>	values
file	int	currentIndex
var	int	hashCode
method	Object	rhs
var	Attribute	rhsAttribute
var	String	lhsKey
var	String	rhsKey
method	String	line
var	int	index
method	String	name
method	String	value
var	String	fullValue
var	String	value
var	Enumeration<String>	e
method	String	value
method	String	line
var	String	currentValue
method	PrintWriter	writer
method	PrintWriter	writer
method	boolean	flatten
var	Enumeration<String>	e
method	PrintWriter	writer
method	String	value
var	String	line
var	int	nameLength
var	int	breakIndex
var	String	section
file	Vector<String>	warnings
file	String	name
file	Map<String, Attribute>	attributes
method	String	name
method	BufferedReader	reader
var	Attribute	attribute
var	String	line
var	String	nameReadAhead
method	Section	section
method	Section	section
method	boolean	mergeClassPaths
var	Enumeration<String>	e
var	Attribute	classpathAttribute
var	String	attributeName
var	Attribute	attribute
var	Enumeration<String>	cpe
var	String	value
var	Attribute	currentCp
var	String	value
var	Enumeration<String>	attribEnum
var	Enumeration<String>	warnEnum
method	PrintWriter	writer
method	PrintWriter	writer
method	boolean	flatten
var	Attribute	nameAttr
var	Enumeration<String>	e
var	String	key
var	Attribute	attribute
method	String	attributeName
method	String	attributeName
var	Attribute	attribute
method	String	attributeName
var	String	key
method	Attribute	attribute
var	String	check
method	Attribute	attribute
var	String	attributeKey
var	Attribute	classpathAttribute
var	Enumeration<String>	e
var	String	value
var	Section	cloned
var	Enumeration<String>	e
var	String	key
var	Attribute	attribute
method	Attribute	attribute
var	String	attributeKey
method	Object	rhs
var	Section	rhsSection
file	String	manifestVersion
file	Section	mainSection
file	Map<String, Section>	sections
var	InputStream	in
var	InputStreamReader	insr
var	String	defManifest
var	Manifest	defaultManifest
var	String	version
var	Attribute	createdBy
var	BufferedReader	reader
var	String	nextSectionName
var	String	readManifestVersion
var	String	line
var	Section	section
var	Attribute	firstAttribute
var	Attribute	sectionName
method	Section	section
var	String	sectionName
method	Attribute	attribute
method	Manifest	other
method	Manifest	other
method	boolean	overwriteMain
method	Manifest	other
method	boolean	overwriteMain
method	boolean	mergeClassPaths
var	Enumeration<String>	e
var	String	sectionName
var	Section	ourSection
var	Section	otherSection
method	PrintWriter	writer
method	PrintWriter	writer
method	boolean	flatten
var	String	signatureVersion
var	Attribute	svAttr
var	Section	section
var	String	sectionName
var	StringWriter	sw
var	Vector<String>	warnings
var	Enumeration<String>	warnEnum
var	Enumeration<String>	e2
var	Section	section
var	int	hashCode
method	Object	rhs
var	Manifest	rhsManifest
method	String	name
file	String	name
file	File	dir
file	int	maxParentLevels
file	Path	path
var	StringBuffer	tooLongSb
var	int	i
var	String	tooLongPrefix
var	FileUtils	fileUtils
var	String[]	elements
var	StringBuffer	buffer
var	File	pathEntry
var	String	fullPath
var	String	relPath
var	String	canonicalPath
var	int	i
method	String	name
method	File	jarfile
var	File	parent
method	int	levels
method	Path	path
file	long	serialVersionUID
file	String	VALID_ATTRIBUTE_CHARS
file	Manifest	nestedManifest
file	File	manifestFile
file	Mode	mode
file	String	encoding
file	boolean	mergeClassPaths
file	boolean	flattenClassPaths
method	Manifest.Section	section
var	Enumeration<String>	attributeKeys
var	Attribute	attribute
method	Manifest.Attribute	attribute
method	Manifest.Attribute	attribute
var	String	name
var	char	ch
var	int	i
method	File	f
method	String	encoding
method	Mode	m
method	boolean	b
method	boolean	b
var	Manifest	toWrite
var	Manifest	current
var	BuildException	error
var	FileInputStream	fis
var	InputStreamReader	isr
var	Enumeration<String>	e
var	PrintWriter	w
var	FileOutputStream	fos
var	OutputStreamWriter	osw
file	FileSet	fileset
method	Project	project
method	String	includes
method	String	itemString
var	StringTokenizer	tok
var	String	pattern
method	String	excludes
method	String	ignoreString
var	StringTokenizer	tok
method	boolean	useDefaultExcludes
method	File	baseDir
method	File	includesfile
method	File	excludesfile
method	boolean	isCaseSensitive
method	boolean	followSymlinks
method	Project	p
method	FileSelector	selector
method	SelectSelector	selector
method	AndSelector	selector
method	OrSelector	selector
method	NotSelector	selector
method	NoneSelector	selector
method	MajoritySelector	selector
method	DateSelector	selector
method	SizeSelector	selector
method	FilenameSelector	selector
method	ExtendSelector	selector
method	ContainsSelector	selector
method	PresentSelector	selector
method	DepthSelector	selector
method	DependSelector	selector
method	ContainsRegexpSelector	selector
method	DifferentSelector	selector
method	TypeSelector	selector
method	ModifiedSelector	selector
method	FileSelector	selector
file	int	MKDIR_RETRY_SLEEP_MILLIS
file	File	dir
var	boolean	result
var	String	msg
method	File	dir
method	File	f
file	boolean	performGc
method	boolean	b
var	File	fromDir
var	File	toDir
var	boolean	renamed
var	String	msg
var	FileSet	fs
var	DirectoryScanner	ds
var	String[]	files
var	String[]	dirs
var	Iterator	fromDirs
var	int	moveCount
var	String	fromFile
var	File	f
var	boolean	selfMove
var	String[]	toFiles
var	String	toFile
var	File	d
var	int	i
var	Iterator	fromFiles
var	int	createCount
var	String	fromDirName
var	String[]	toDirNames
var	boolean	selfMove
var	File	d
var	int	i
var	File	fromDir
var	Iterator	fromDirNames
method	File	fromFile
method	File	toFile
method	boolean	filtering
method	boolean	overwrite
var	boolean	moved
var	String	msg
method	File	fromFile
method	File	toFile
method	boolean	filtering
method	boolean	overwrite
var	String	msg
var	FilterSetCollection	executionFilters
var	Iterator	filterIter
method	File	d
var	String[]	list
var	String	s
var	File	f
var	int	i
method	File	d
method	File	d
method	boolean	deleteFiles
var	String[]	list
var	String	s
var	File	f
var	int	i
method	File	sourceFile
method	File	destFile
method	boolean	filtering
method	boolean	overwrite
var	File	parent
file	Integer	newPriority
file	String	currentPriority
var	Thread	self
var	int	priority
var	String	current
method	String	currentPriority
method	int	newPriority
file	CommandlineJava	commandline
file	File	targetFile
file	File	outputDirectory
file	File	superGrammar
file	boolean	html
file	boolean	diagnostic
file	boolean	trace
file	boolean	traceParser
file	boolean	traceLexer
file	boolean	traceTreeWalker
file	File	workingdir
file	ByteArrayOutputStream	bos
file	boolean	debug
file	FileUtils	FILE_UTILS
method	File	target
method	File	outputDirectory
method	String	superGrammar
var	String	sg
method	File	superGrammar
method	boolean	enable
method	boolean	enable
method	boolean	enable
method	boolean	enable
method	boolean	enable
method	boolean	enable
method	boolean	enable
method	boolean	s
method	File	d
method	String	resource
var	File	f
var	File	generatedFile
var	boolean	targetIsOutOfDate
var	boolean	superGrammarIsOutOfDate
var	int	err
var	String	output
var	String	generatedFileName
var	BufferedReader	in
var	String	line
var	int	extendsIndex
method	String[]	command
var	PumpStreamHandler	psh
var	Execute	exe
var	AntClassLoader	l
file	int	DEFAULT_RESULT
file	File	cabFile
file	File	baseDir
file	Vector	filesets
file	boolean	doCompress
file	boolean	doVerbose
file	String	cmdOptions
file	String	archiveType
file	FileUtils	FILE_UTILS
method	File	cabFile
method	File	baseDir
method	boolean	compress
method	boolean	verbose
method	String	options
method	FileSet	set
var	ExecTask	exec
method	Vector	files
var	boolean	upToDate
var	int	size
var	String	file
var	int	i
method	Vector	files
var	File	listFile
var	BufferedWriter	writer
var	int	size
var	int	i
method	Vector	files
method	DirectoryScanner	ds
var	String[]	dsfiles
var	int	i
var	Vector	files
var	FileSet	fs
var	Vector	files
var	String	msg
var	File	listFile
var	ExecTask	exec
var	File	outFile
var	StringBuffer	sb
var	Enumeration	fileEnum
var	String	msg
var	Process	p
var	OutputStream	out
var	LogOutputStream	outLog
var	LogOutputStream	errLog
var	StreamPumper	outPump
var	StreamPumper	errPump
var	int	result
file	File	file
file	String	comment
file	String	task
file	Vector	filesets
method	File	v
method	String	v
method	String	v
method	FileSet	set
var	int	sizeofFileSet
var	FileSet	fs
var	DirectoryScanner	ds
var	String[]	srcFiles
var	File	src
var	int	j
var	int	i
var	Commandline	commandLine
var	int	result
var	String	msg
method	Commandline	cmd
file	String	FLAG_COMMENT
file	String	FLAG_TASK
file	String	DEFAULT_TASK
file	String	comment
file	String	platform
file	String	resolver
file	String	release
file	String	subSystem
file	String	task
var	Commandline	commandLine
var	int	result
var	String	msg
var	Commandline	commandLine2
var	String	msg
method	Commandline	cmd
method	String	v
method	String	v
method	String	v
method	String	v
method	String	v
method	String	v
file	String	FLAG_COMMENT
file	String	FLAG_PLATFORM
file	String	FLAG_RESOLVER
file	String	FLAG_RELEASE
file	String	FLAG_SUBSYSTEM
file	String	FLAG_TASK
method	OutputStream	param1
method	InputStream	is
var	BufferedReader	reader
var	String	s
method	InputStream	is
var	String	buffer
var	BufferedReader	reader
var	String	taskstring
file	String	ccmProject
file	boolean	recurse
file	boolean	verbose
var	Commandline	commandLine
var	int	result
var	String	msg
method	Commandline	cmd
method	String	v
method	boolean	v
method	boolean	v
file	String	FLAG_RECURSE
file	String	FLAG_VERBOSE
file	String	FLAG_PROJECT
file	String	ccmDir
file	String	ccmAction
method	String	v
method	String	dir
var	String	toReturn
method	Commandline	cmd
method	ExecuteStreamHandler	handler
var	Execute	exe
method	Commandline	cmd
file	String	CCM_EXE
file	String	COMMAND_CREATE_TASK
file	String	COMMAND_CHECKOUT
file	String	COMMAND_CHECKIN
file	String	COMMAND_RECONFIGURE
file	String	COMMAND_DEFAULT_TASK
file	String	mComment
file	String	mCfile
file	boolean	mNwarn
file	boolean	mPtime
file	boolean	mKeep
file	boolean	mIdentical
var	Commandline	commandLine
var	Project	aProj
var	int	result
var	String	msg
method	Commandline	cmd
method	String	comment
method	String	cfile
method	boolean	nwarn
method	boolean	ptime
method	boolean	keep
method	boolean	identical
method	Commandline	cmd
method	Commandline	cmd
file	String	FLAG_COMMENT
file	String	FLAG_COMMENTFILE
file	String	FLAG_NOCOMMENT
file	String	FLAG_NOWARN
file	String	FLAG_PRESERVETIME
file	String	FLAG_KEEPCOPY
file	String	FLAG_IDENTICAL
file	boolean	mReserved
file	String	mOut
file	boolean	mNdata
file	String	mBranch
file	boolean	mVersion
file	boolean	mNwarn
file	String	mComment
file	String	mCfile
file	boolean	mNotco
var	Commandline	commandLine
var	Project	aProj
var	int	result
var	String	msg
var	Commandline	cmdl
var	String	result
method	Commandline	cmd
method	boolean	reserved
method	boolean	notco
method	String	outf
method	boolean	ndata
method	String	branch
method	boolean	version
method	boolean	nwarn
method	String	comment
method	String	cfile
method	Commandline	cmd
method	Commandline	cmd
method	Commandline	cmd
method	Commandline	cmd
file	String	FLAG_RESERVED
file	String	FLAG_UNRESERVED
file	String	FLAG_OUT
file	String	FLAG_NODATA
file	String	FLAG_BRANCH
file	String	FLAG_VERSION
file	String	FLAG_NOWARN
file	String	FLAG_COMMENT
file	String	FLAG_COMMENTFILE
file	String	FLAG_NOCOMMENT
file	boolean	mReplace
file	boolean	mObsolete
file	String	mComment
file	String	mNusers
file	String	mPname
file	String	mObjselect
var	Commandline	commandLine
var	Project	aProj
var	int	result
var	String	msg
method	Commandline	cmd
method	boolean	replace
method	boolean	obsolete
method	String	nusers
method	String	comment
method	String	pname
method	String	objsel
method	String	objselect
method	Commandline	cmd
method	Commandline	cmd
method	Commandline	cmd
file	String	FLAG_REPLACE
file	String	FLAG_NUSERS
file	String	FLAG_OBSOLETE
file	String	FLAG_COMMENT
file	String	FLAG_PNAME
file	boolean	mReplace
file	boolean	mRecurse
file	String	mVersion
file	String	mTypeName
file	String	mTypeValue
file	String	mComment
file	String	mCfile
var	Commandline	commandLine
var	Project	aProj
var	int	result
var	String	msg
method	Commandline	cmd
method	boolean	replace
method	boolean	recurse
method	String	version
method	String	comment
method	String	cfile
method	String	tn
method	String	tv
method	Commandline	cmd
method	Commandline	cmd
method	Commandline	cmd
method	Commandline	cmd
var	String	typenm
method	Commandline	cmd
var	String	typevl
file	String	FLAG_REPLACE
file	String	FLAG_RECURSE
file	String	FLAG_VERSION
file	String	FLAG_COMMENT
file	String	FLAG_COMMENTFILE
file	String	FLAG_NOCOMMENT
file	String	mComment
file	String	mCfile
file	String	mBaselineRootName
file	boolean	mNwarn
file	boolean	mIdentical
file	boolean	mFull
file	boolean	mNlabel
var	Commandline	commandLine
var	Project	aProj
var	int	result
var	String	msg
method	Commandline	cmd
method	String	comment
method	String	cfile
method	String	baselineRootName
method	boolean	nwarn
method	boolean	identical
method	boolean	full
method	boolean	nlabel
method	Commandline	cmd
method	Commandline	cmd
file	String	FLAG_COMMENT
file	String	FLAG_COMMENTFILE
file	String	FLAG_NOCOMMENT
file	String	FLAG_IDENTICAL
file	String	FLAG_INCREMENTAL
file	String	FLAG_FULL
file	String	FLAG_NLABEL
file	String	mComment
file	String	mCfile
file	boolean	mNoco
var	Commandline	commandLine
var	Project	aProj
var	int	result
var	String	msg
method	Commandline	cmd
method	String	comment
method	String	cfile
method	boolean	co
method	Commandline	cmd
method	Commandline	cmd
file	String	FLAG_COMMENT
file	String	FLAG_COMMENTFILE
file	String	FLAG_NOCOMMENT
file	String	FLAG_NOCHECKOUT
file	String	mComment
file	String	mCfile
file	boolean	mNwarn
file	boolean	mPtime
file	boolean	mNoco
file	boolean	mCheckin
file	boolean	mMaster
file	String	mEltype
var	Commandline	commandLine
var	Project	aProj
var	int	result
var	String	msg
method	Commandline	cmd
method	String	comment
method	String	cfile
method	boolean	nwarn
method	boolean	ptime
method	boolean	co
method	boolean	ci
method	boolean	master
method	String	eltype
method	Commandline	cmd
method	Commandline	cmd
method	Commandline	cmd
file	String	FLAG_COMMENT
file	String	FLAG_COMMENTFILE
file	String	FLAG_NOCOMMENT
file	String	FLAG_NOWARN
file	String	FLAG_PRESERVETIME
file	String	FLAG_NOCHECKOUT
file	String	FLAG_CHECKIN
file	String	FLAG_MASTER
file	String	FLAG_ELTYPE
file	boolean	mReplace
file	boolean	mRecurse
file	String	mVersion
file	String	mTypeName
file	String	mVOB
file	String	mComment
file	String	mCfile
var	Commandline	commandLine
var	Project	aProj
var	int	result
var	String	msg
method	Commandline	cmd
method	boolean	replace
method	boolean	recurse
method	String	version
method	String	comment
method	String	cfile
method	String	tn
method	String	vob
method	Commandline	cmd
method	Commandline	cmd
method	Commandline	cmd
method	Commandline	cmd
var	String	typenm
file	String	FLAG_REPLACE
file	String	FLAG_RECURSE
file	String	FLAG_VERSION
file	String	FLAG_COMMENT
file	String	FLAG_COMMENTFILE
file	String	FLAG_NOCOMMENT
file	String	mTypeName
file	String	mVOB
file	String	mComment
file	String	mCfile
file	boolean	mReplace
file	boolean	mGlobal
file	boolean	mOrdinary
file	boolean	mPbranch
file	boolean	mShared
var	Commandline	commandLine
var	int	result
var	String	msg
method	Commandline	cmd
method	String	tn
method	String	vob
method	boolean	repl
method	boolean	glob
method	boolean	ordinary
method	boolean	pbranch
method	boolean	shared
method	String	comment
method	String	cfile
method	Commandline	cmd
method	Commandline	cmd
var	String	typenm
file	String	FLAG_REPLACE
file	String	FLAG_GLOBAL
file	String	FLAG_ORDINARY
file	String	FLAG_PBRANCH
file	String	FLAG_SHARED
file	String	FLAG_COMMENT
file	String	FLAG_COMMENTFILE
file	String	FLAG_NOCOMMENT
file	String	mTypeKind
file	String	mTypeName
file	String	mVOB
file	String	mComment
file	String	mCfile
file	boolean	mRmall
file	boolean	mIgnore
var	Commandline	commandLine
var	int	result
var	String	msg
method	Commandline	cmd
method	boolean	ignore
method	boolean	rmall
method	String	comment
method	String	cfile
method	String	tk
method	String	tn
method	String	vob
var	String	tkind
var	String	tname
var	String	typeSpec
method	Commandline	cmd
method	Commandline	cmd
file	String	FLAG_IGNORE
file	String	FLAG_RMALL
file	String	FLAG_FORCE
file	String	FLAG_COMMENT
file	String	FLAG_COMMENTFILE
file	String	FLAG_NOCOMMENT
file	boolean	mKeep
var	Commandline	commandLine
var	Project	aProj
var	int	result
var	String	msg
method	Commandline	cmd
method	boolean	keep
file	String	FLAG_KEEPCOPY
file	String	FLAG_RM
file	String	mComment
file	String	mPname
var	Commandline	commandLine
var	Project	aProj
var	int	result
var	String	msg
method	Commandline	cmd
method	String	comment
method	String	pname
method	String	objselect
method	String	objsel
method	Commandline	cmd
method	Commandline	cmd
file	String	FLAG_COMMENT
file	String	FLAG_PNAME
file	boolean	mGraphical
